Datum,Nachricht
2022-06-20T05:02:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-20T07:02:00.000+02:00,──── Order Berechnung ────
2022-06-20T07:02:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-20T07:02:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-20T07:02:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-20T09:02:00.000+02:00,──── Order Berechnung ────
2022-06-20T09:02:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-20T09:02:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-20T09:02:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-20T11:02:00.000+02:00,──── Order Berechnung ────
2022-06-20T11:02:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-20T11:02:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-20T11:02:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-20T13:02:00.000+02:00,──── Order Berechnung ────
2022-06-20T13:02:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-20T13:02:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-20T13:02:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-20T15:02:00.000+02:00,──── Order Berechnung ────
2022-06-20T15:02:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-20T15:02:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-20T15:02:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-20T17:02:00.000+02:00,──── Order Berechnung ────
2022-06-20T17:02:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-20T17:02:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-20T17:02:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-20T19:02:00.000+02:00,──── Order Berechnung ────
2022-06-20T19:02:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-20T19:02:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-20T19:02:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-20T21:02:00.000+02:00,──── Order Berechnung ────
2022-06-20T21:02:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-20T21:02:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-20T21:02:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-20T23:00:00.000+02:00,──── Order Berechnung ────
2022-06-20T23:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-20T23:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-20T23:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-21T01:00:00.000+02:00,──── Order Berechnung ────
2022-06-21T01:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-21T01:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-21T01:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-21T03:00:00.000+02:00,──── Order Berechnung ────
2022-06-21T03:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-21T03:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-21T03:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-21T05:00:00.000+02:00,──── Order Berechnung ────
2022-06-21T05:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-21T05:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-21T05:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-21T07:00:00.000+02:00,──── Order Berechnung ────
2022-06-21T07:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-21T07:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-21T07:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-21T09:00:00.000+02:00,──── Order Berechnung ────
2022-06-21T09:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-21T09:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-21T09:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-21T11:00:00.000+02:00,──── Order Berechnung ────
2022-06-21T11:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-21T11:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-21T11:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-21T13:00:00.000+02:00,──── Order Berechnung ────
2022-06-21T13:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-21T13:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-21T13:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-21T15:00:00.000+02:00,──── Order Berechnung ────
2022-06-21T15:00:00.000+02:00,Equity=10000 | Risk%=1 | Risk$=100
2022-06-21T15:00:00.000+02:00,Entry=140.782 | SL=140.132 | SL-Abstand=0.650 | Qty=153.84615385
2022-06-21T15:00:00.000+02:00,▶ LONG STOP-ORDER platziert: Qty=153.84615385 Entry(Stop)=140.782 SL=140.132
2022-06-21T17:00:00.000+02:00,──── Order Berechnung ────
