Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Datetime,,,,,
2026-03-04 13:30:00+00:00,24877.5,24886.75,24874.75,24882.75,210
2026-03-04 13:31:00+00:00,24875.0,24879.0,24860.25,24876.75,787
2026-03-04 13:32:00+00:00,24895.25,24897.5,24873.5,24875.25,750
2026-03-04 13:33:00+00:00,24886.0,24899.0,24883.25,24894.25,305
2026-03-04 13:34:00+00:00,24886.0,24892.25,24881.5,24885.5,149
2026-03-04 13:35:00+00:00,24873.5,24887.0,24873.0,24886.75,219
2026-03-04 13:36:00+00:00,24871.75,24876.0,24863.5,24874.0,231
2026-03-04 13:37:00+00:00,24873.5,24877.25,24865.25,24870.25,660
2026-03-04 13:38:00+00:00,24888.75,24896.0,24875.0,24875.0,307
2026-03-04 13:39:00+00:00,24890.75,24892.75,24880.5,24889.25,180
2026-03-04 13:40:00+00:00,24888.75,24895.25,24877.25,24890.25,256
2026-03-04 13:41:00+00:00,24899.75,24908.0,24886.75,24889.25,451
2026-03-04 13:42:00+00:00,24909.25,24910.5,24889.0,24898.0,583
2026-03-04 13:43:00+00:00,24917.0,24925.0,24892.75,24908.75,1089
2026-03-04 13:44:00+00:00,24904.25,24918.5,24895.5,24917.0,312
2026-03-04 13:45:00+00:00,24904.5,24910.0,24900.5,24902.75,221
2026-03-04 13:46:00+00:00,24903.5,24904.0,24899.25,24901.75,80
2026-03-04 13:47:00+00:00,24903.5,24917.5,24901.0,24903.25,322
2026-03-04 13:48:00+00:00,24906.25,24907.5,24899.0,24904.0,161
2026-03-04 13:49:00+00:00,24912.0,24917.75,24905.0,24905.75,281
2026-03-04 13:50:00+00:00,24909.0,24915.0,24904.75,24912.25,332
2026-03-04 13:51:00+00:00,24914.0,24916.5,24905.25,24909.75,448
2026-03-04 13:52:00+00:00,24894.25,24913.25,24892.0,24913.0,512
2026-03-04 13:53:00+00:00,24895.75,24899.75,24886.75,24894.0,576
2026-03-04 13:54:00+00:00,24891.75,24900.25,24890.0,24896.5,555
2026-03-04 13:55:00+00:00,24878.25,24890.0,24875.5,24890.0,433
2026-03-04 13:56:00+00:00,24902.5,24918.25,24876.75,24879.5,885
2026-03-04 13:57:00+00:00,24890.5,24909.0,24881.75,24904.5,595
2026-03-04 13:58:00+00:00,24884.0,24897.0,24882.25,24889.25,225
2026-03-04 13:59:00+00:00,24889.25,24896.75,24883.25,24883.75,288
2026-03-04 14:00:00+00:00,24882.5,24891.5,24878.25,24889.5,550
2026-03-04 14:01:00+00:00,24886.75,24889.5,24879.75,24880.75,213
2026-03-04 14:02:00+00:00,24884.25,24893.75,24878.25,24887.75,317
2026-03-04 14:03:00+00:00,24882.75,24886.75,24874.0,24884.5,255
2026-03-04 14:04:00+00:00,24888.0,24894.25,24882.5,24882.75,200
2026-03-04 14:05:00+00:00,24883.25,24889.75,24878.0,24887.75,226
2026-03-04 14:06:00+00:00,24901.25,24902.0,24883.0,24883.25,544
2026-03-04 14:07:00+00:00,24889.75,24904.5,24886.0,24902.0,425
2026-03-04 14:08:00+00:00,24871.0,24895.0,24866.0,24889.75,350
2026-03-04 14:09:00+00:00,24875.25,24877.5,24870.5,24870.5,196
2026-03-04 14:10:00+00:00,24875.25,24877.75,24868.5,24874.0,224
2026-03-04 14:11:00+00:00,24877.75,24884.75,24875.5,24875.5,165
2026-03-04 14:12:00+00:00,24892.0,24892.0,24878.5,24879.0,199
2026-03-04 14:13:00+00:00,24885.0,24894.0,24882.5,24892.0,212
2026-03-04 14:14:00+00:00,24897.0,24897.25,24881.5,24886.0,197
2026-03-04 14:15:00+00:00,24898.25,24903.75,24895.25,24896.0,460
2026-03-04 14:16:00+00:00,24895.75,24900.0,24888.25,24899.25,338
2026-03-04 14:17:00+00:00,24881.0,24895.75,24881.0,24895.5,218
2026-03-04 14:18:00+00:00,24896.5,24898.0,24880.75,24881.75,355
2026-03-04 14:19:00+00:00,24901.75,24903.75,24895.0,24898.5,187
2026-03-04 14:20:00+00:00,24911.0,24911.5,24900.75,24900.75,374
2026-03-04 14:21:00+00:00,24898.5,24911.0,24897.0,24910.75,297
2026-03-04 14:22:00+00:00,24884.5,24905.0,24884.5,24899.25,499
2026-03-04 14:23:00+00:00,24891.75,24894.25,24885.0,24885.0,318
2026-03-04 14:24:00+00:00,24880.5,24894.75,24880.5,24891.0,252
2026-03-04 14:25:00+00:00,24869.75,24880.75,24866.75,24880.75,492
2026-03-04 14:26:00+00:00,24857.0,24873.0,24856.0,24869.5,430
2026-03-04 14:27:00+00:00,24859.0,24871.0,24854.5,24857.25,728
2026-03-04 14:28:00+00:00,24858.25,24866.75,24852.25,24859.5,639
2026-03-04 14:29:00+00:00,24852.25,24860.0,24846.5,24859.25,1053
2026-03-04 14:30:00+00:00,24934.0,24955.5,24837.25,24853.0,7391
2026-03-04 14:31:00+00:00,24905.0,24942.5,24901.0,24935.0,3767
2026-03-04 14:32:00+00:00,24923.25,24942.0,24903.5,24905.75,3285
2026-03-04 14:33:00+00:00,24948.5,24953.5,24919.25,24922.0,2575
2026-03-04 14:34:00+00:00,24964.5,24968.5,24932.25,24947.75,3218
2026-03-04 14:35:00+00:00,24908.25,24970.25,24889.0,24964.5,5056
2026-03-04 14:36:00+00:00,24884.0,24917.5,24869.25,24908.75,2865
2026-03-04 14:37:00+00:00,24897.5,24908.25,24871.0,24884.5,2348
2026-03-04 14:38:00+00:00,24884.5,24919.0,24879.5,24898.25,2290
2026-03-04 14:39:00+00:00,24885.0,24909.25,24881.0,24884.5,1973
2026-03-04 14:40:00+00:00,24864.0,24888.0,24852.75,24886.75,2232
2026-03-04 14:41:00+00:00,24851.0,24877.75,24844.25,24864.75,2254
2026-03-04 14:42:00+00:00,24847.75,24870.0,24840.75,24850.5,1835
2026-03-04 14:43:00+00:00,24858.0,24879.0,24845.75,24848.75,1705
2026-03-04 14:44:00+00:00,24853.25,24864.25,24843.25,24858.25,1233
2026-03-04 14:45:00+00:00,24845.5,24850.25,24826.0,24849.25,2850
2026-03-04 14:46:00+00:00,24882.5,24883.5,24844.0,24845.75,2560
2026-03-04 14:47:00+00:00,24875.0,24919.5,24871.25,24880.5,2639
2026-03-04 14:48:00+00:00,24906.25,24909.75,24869.75,24874.5,1647
2026-03-04 14:49:00+00:00,24896.5,24935.5,24888.75,24906.75,2243
2026-03-04 14:50:00+00:00,24873.5,24900.0,24865.5,24896.0,1534
2026-03-04 14:51:00+00:00,24898.75,24901.25,24871.0,24873.0,1387
2026-03-04 14:52:00+00:00,24918.5,24925.5,24889.0,24899.75,1601
2026-03-04 14:53:00+00:00,24933.0,24944.0,24917.75,24920.0,1759
2026-03-04 14:54:00+00:00,24932.0,24941.0,24912.25,24931.5,1637
2026-03-04 14:55:00+00:00,24905.75,24942.0,24902.25,24932.75,1760
2026-03-04 14:56:00+00:00,24914.0,24928.0,24905.0,24907.5,1138
2026-03-04 14:57:00+00:00,24913.75,24922.5,24908.5,24914.75,750
2026-03-04 14:58:00+00:00,24904.75,24920.0,24902.25,24913.25,766
2026-03-04 14:59:00+00:00,24922.5,24922.5,24895.0,24904.25,1068
2026-03-04 15:00:00+00:00,24968.75,24977.0,24919.25,24919.25,3875
2026-03-04 15:01:00+00:00,24971.75,24983.25,24960.0,24966.25,2334
2026-03-04 15:02:00+00:00,24953.25,24978.0,24946.75,24971.5,2029
2026-03-04 15:03:00+00:00,24902.25,24961.0,24896.25,24956.0,3143
2026-03-04 15:04:00+00:00,24930.5,24933.75,24891.5,24901.25,1929
2026-03-04 15:05:00+00:00,24936.5,24951.5,24927.25,24930.75,1983
2026-03-04 15:06:00+00:00,24955.75,24969.25,24922.5,24938.25,1756
2026-03-04 15:07:00+00:00,24970.25,24970.75,24944.25,24954.75,1124
2026-03-04 15:08:00+00:00,24990.25,24992.5,24967.25,24970.75,2374
2026-03-04 15:09:00+00:00,24994.75,25001.25,24984.25,24990.25,2018
2026-03-04 15:10:00+00:00,25000.0,25002.0,24988.5,24994.75,1555
2026-03-04 15:11:00+00:00,24989.75,25000.75,24963.0,25000.5,1598
2026-03-04 15:12:00+00:00,24997.75,25001.25,24984.5,24989.75,1244
2026-03-04 15:13:00+00:00,25005.0,25009.75,24993.0,24998.0,1528
2026-03-04 15:14:00+00:00,24978.25,25008.0,24957.5,25006.5,1780
2026-03-04 15:15:00+00:00,24993.0,24995.25,24973.75,24978.0,1493
2026-03-04 15:16:00+00:00,24996.25,25002.75,24984.25,24994.25,1188
2026-03-04 15:17:00+00:00,25007.75,25015.0,24989.0,24996.0,1710
2026-03-04 15:18:00+00:00,25014.25,25022.0,25005.75,25007.75,1395
2026-03-04 15:19:00+00:00,25032.75,25035.75,25009.75,25013.25,1583
2026-03-04 15:20:00+00:00,25052.5,25052.5,25022.25,25033.5,1961
2026-03-04 15:21:00+00:00,25076.0,25076.25,25051.0,25052.25,3010
2026-03-04 15:22:00+00:00,25076.0,25082.0,25063.0,25076.0,2209
2026-03-04 15:23:00+00:00,25077.25,25083.0,25069.25,25076.25,1856
2026-03-04 15:24:00+00:00,25091.75,25093.75,25067.25,25077.25,2300
2026-03-04 15:25:00+00:00,25083.0,25095.0,25074.75,25091.25,2119
2026-03-04 15:26:00+00:00,25115.5,25117.0,25079.75,25082.75,2928
2026-03-04 15:27:00+00:00,25122.75,25130.5,25112.25,25115.25,2568
2026-03-04 15:28:00+00:00,25126.5,25129.25,25117.5,25123.0,1548
2026-03-04 15:29:00+00:00,25139.5,25146.25,25125.75,25125.75,2941
2026-03-04 15:30:00+00:00,25126.25,25148.5,25125.5,25139.0,2846
2026-03-04 15:31:00+00:00,25140.75,25141.5,25119.25,25126.25,1768
2026-03-04 15:32:00+00:00,25132.5,25141.25,25127.75,25140.0,1168
2026-03-04 15:33:00+00:00,25123.0,25133.25,25117.25,25132.75,1392
2026-03-04 15:34:00+00:00,25113.75,25126.5,25112.5,25123.25,1147
2026-03-04 15:35:00+00:00,25115.5,25117.5,25098.25,25113.75,2112
2026-03-04 15:36:00+00:00,25106.75,25118.25,25102.25,25114.25,1202
2026-03-04 15:37:00+00:00,25115.75,25118.25,25104.5,25106.5,889
2026-03-04 15:38:00+00:00,25103.5,25129.5,25099.75,25116.25,1437
2026-03-04 15:39:00+00:00,25082.25,25103.0,25078.25,25103.0,2050
2026-03-04 15:40:00+00:00,25075.75,25096.0,25070.25,25083.0,1498
2026-03-04 15:41:00+00:00,25071.0,25081.75,25064.5,25075.75,1434
2026-03-04 15:42:00+00:00,25068.0,25080.75,25062.0,25072.25,1451
2026-03-04 15:43:00+00:00,25066.0,25080.5,25062.0,25068.5,1016
2026-03-04 15:44:00+00:00,25061.5,25069.75,25060.75,25066.0,946
2026-03-04 15:45:00+00:00,25044.75,25067.0,25038.25,25062.25,2201
2026-03-04 15:46:00+00:00,25045.25,25060.25,25043.5,25046.0,997
2026-03-04 15:47:00+00:00,25054.5,25059.0,25036.75,25045.5,1256
2026-03-04 15:48:00+00:00,25054.0,25057.25,25041.75,25053.25,1191
2026-03-04 15:49:00+00:00,25060.5,25067.75,25047.0,25053.75,1289
2026-03-04 15:50:00+00:00,25075.75,25079.75,25051.75,25060.75,1411
2026-03-04 15:51:00+00:00,25082.25,25087.0,25069.0,25075.75,1336
2026-03-04 15:52:00+00:00,25047.75,25083.75,25044.0,25083.75,1517
2026-03-04 15:53:00+00:00,25065.75,25065.75,25045.75,25047.5,895
