time,open,high,low,close,MagicTrend,BB Upper,BB Basis,BB Lower
1770599220,6965.8,6966.6,6964.9,6965.7,6968.347031511793,6971.5272342953085,6968.504999999997,6965.482765704686
1770599280,6965.6,6967.7,6964.7,6966.8,6968.347031511793,6971.339180449231,6968.334999999996,6965.330819550762
1770599340,6966.7,6968.4,6966.7,6968.3,6968.347031511793,6971.24418624744,6968.279999999997,6965.315813752554
1770599400,6968.2,6968.7,6967.4,6968.3,6968.347031511793,6971.2005931809435,6968.249999999997,6965.299406819051
1770599460,6968.1,6968.3,6967.4,6967.6,6968.347031511793,6970.997359193809,6968.134999999997,6965.272640806184
1770599520,6967.7,6967.9,6966.2,6967.9,6968.347031511793,6970.721555154541,6968.019999999995,6965.3184448454485
1770599580,6967.7,6968.4,6966.4,6966.4,6968.347031511793,6970.6124714519765,6967.879999999996,6965.147528548015
1770599640,6966.6,6967.2,6965.2,6965.7,6968.347031511793,6970.624218686251,6967.744999999995,6964.86578131374
1770599700,6965.8,6966.2,6964.4,6964.6,6967.977066130321,6970.663113494641,6967.529999999996,6964.396886505351
1770599760,6964.4,6966.4,6964.2,6965.8,6967.977066130321,6970.542657140698,6967.379999999996,6964.217342859293
1770599820,6965.7,6965.9,6964.6,6965.2,6967.649322323406,6969.980972086105,6967.099999999997,6964.219027913889
1770599880,6965.1,6966.2,6964.2,6964.8,6967.649322323406,6969.532610069338,6966.834999999997,6964.137389930656
1770599940,6964.7,6967.3,6964.7,6967.3,6967.649322323406,6969.171393048058,6966.729999999999,6964.288606951939
1770600000,6967.2,6967.9,6967.1,6967.2,6967.649322323406,6968.936644146978,6966.654999999999,6964.373355853019
1770600060,6967.3,6968.2,6966.2,6967.4,6967.649322323406,6968.936644146978,6966.654999999999,6964.373355853019
1770600120,6967.2,6968.7,6966.9,6967.1,6967.649322323406,6968.780825514055,6966.6,6964.419174485945
1770600180,6966.6,6967.2,6965.7,6966.1,6967.649322323406,6968.693958061366,6966.535000000001,6964.376041938635
1770600240,6966.2,6967.6,6965.4,6967.3,6967.649322323406,6968.734426519432,6966.555,6964.375573480568
1770600300,6967.2,6967.9,6966.3,6966.7,6967.649322323406,6968.754143351814,6966.594999999999,6964.435856648185
1770600360,6966.6,6967.4,6966.2,6966.7,6967.649322323406,6968.7648820794675,6966.6449999999995,6964.525117920532
1770600420,6966.6,6967.4,6966.4,6967.2,6967.649322323406,6968.8067199234,6966.719999999999,6964.633280076599
1770600480,6967.1,6967.2,6965.7,6966.7,6967.649322323406,6968.801408376232,6966.715000000001,6964.62859162377
1770600540,6966.6,6966.6,6964.4,6964.7,6967.649322323406,6968.664107782467,6966.535000000001,6964.4058922175345
1770600600,6964.6,6967.3,6964.6,6965.6,6967.649322323406,6968.402997759439,6966.4,6964.39700224056
1770600660,6965.7,6966.9,6965.1,6966.9,6967.649322323406,6968.306417010947,6966.365,6964.423582989052
1770600720,6966.7,6968.2,6966.7,6967.4,6967.649322323406,6968.213392647976,6966.339999999999,6964.466607352022
1770600780,6967.2,6967.6,6966.2,6967.4,6967.649322323406,6968.319663190804,6966.389999999999,6964.460336809195
1770600840,6967.3,6967.4,6965.9,6966.4,6967.649322323406,6968.328549337136,6966.424999999998,6964.521450662861
1770600900,6966.2,6966.9,6965.4,6966.9,6967.649322323406,6968.257439967192,6966.539999999999,6964.822560032806
1770600960,6967.2,6967.2,6965.1,6966.1,6967.649322323406,6968.251437471229,6966.5549999999985,6964.858562528768
1770601020,6965.9,6965.9,6963.4,6964.2,6967.649322323406,6968.404973699111,6966.504999999999,6964.605026300887
1770601080,6964.1,6964.3,6961.9,6962.4,6966.319154822499,6968.903154093199,6966.384999999999,6963.866845906799
1770601140,6962.2,6963.3,6961.7,6961.9,6965.235323857999,6969.2622368861885,6966.115,6962.967763113811
1770601200,6962.1,6963.7,6961.7,6963.2,6965.235323857999,6969.262999417175,6965.914999999998,6962.5670005828215
1770601260,6963.3,6964.6,6963.2,6964.2,6965.235323857999,6969.109683314488,6965.754999999997,6962.400316685506
1770601320,6964.3,6964.4,6962.7,6963.4,6965.235323857999,6969.014473847887,6965.569999999998,6962.125526152109
1770601380,6963.3,6963.9,6962.4,6962.9,6965.235323857999,6969.033754974016,6965.409999999998,6961.78624502598
1770601440,6963.2,6963.7,6963.1,6963.1,6965.235323857999,6968.848013165811,6965.199999999999,6961.551986834187
1770601500,6963.2,6963.7,6961.3,6961.6,6965.235323857999,6968.84242224169,6964.944999999998,6961.047577758306
1770601560,6961.3,6961.6,6959.9,6959.9,6963.321738829945,6968.986997279133,6964.604999999998,6960.2230027208625
1770601620,6960.1,6963.2,6959.4,6963.2,6963.321738829945,6968.65822231683,6964.404999999999,6960.151777683168
1770601680,6963.4,6964.1,6962.9,6963.4,6963.321738829945,6968.378792110925,6964.239999999998,6960.101207889071
1770601740,6963.6,6963.7,6962.2,6962.3,6963.321738829945,6968.336918321619,6964.119999999998,6959.903081678377
1770601800,6962.4,6962.4,6959.2,6960.2,6963.321738829945,6968.3362010740175,6963.8499999999985,6959.36379892598
1770601860,6960.1,6962.7,6960.1,6962.4,6963.321738829945,6967.924244133916,6963.624999999998,6959.325755866081
