Datum,Nachricht
2016-02-25T15:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1600 Entry(Stop)=1.93 SL=1.99
2016-02-25T17:30:00.000+01:00,──── Order Berechnung ────
2016-02-25T17:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-02-25T17:30:00.000+01:00,Entry=1.93 | SL=1.99 | SL-Dist=0.06 | Loss/Kontrakt=0.0625 | Qty=1600
2016-02-25T17:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1600 Entry(Stop)=1.93 SL=1.99
2016-02-25T19:30:00.000+01:00,──── Order Berechnung ────
2016-02-25T19:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-02-25T19:30:00.000+01:00,Entry=1.93 | SL=1.99 | SL-Dist=0.06 | Loss/Kontrakt=0.0625 | Qty=1600
2016-02-25T19:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1600 Entry(Stop)=1.93 SL=1.99
2016-02-25T21:30:00.000+01:00,──── Order Berechnung ────
2016-02-25T21:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-02-25T21:30:00.000+01:00,Entry=1.93 | SL=1.99 | SL-Dist=0.06 | Loss/Kontrakt=0.0625 | Qty=1600
2016-02-25T21:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1600 Entry(Stop)=1.93 SL=1.99
2016-02-26T15:30:00.000+01:00,──── Order Berechnung ────
2016-02-26T15:30:00.000+01:00,Equity=10000 | Risk%=1 | Risk$=100 | pointvalue=1 | mintick=0.01
2016-02-26T15:30:00.000+01:00,Entry=1.93 | SL=1.99 | SL-Dist=0.06 | Loss/Kontrakt=0.0625 | Qty=1600
2016-02-26T15:30:00.000+01:00,▶ SHORT STOP-ORDER platziert: Qty=1600 Entry(Stop)=1.93 SL=1.99
