time,open,high,low,close
1771295640,24609.4,24610.5,24592.1,24595.4
1771295700,24595.3,24599,24587.6,24594.1
1771295760,24594.3,24601.3,24592.6,24600.4
1771295820,24600.5,24603.5,24594,24599.5
1771295880,24599.6,24602.4,24596.9,24598.9
1771295940,24599.4,24600.8,24592.6,24596.5
1771296000,24594.1,24599.9,24592.8,24595.9
1771296060,24596.2,24603.3,24596.2,24599.8
1771296120,24600,24605,24595.2,24604.5
1771296180,24605.6,24605.7,24599.6,24605
1771296240,24605.1,24615,24603.7,24603.8
1771296300,24602.8,24606.5,24598.2,24600.7
1771296360,24601.1,24605.5,24596.6,24598.6
1771296420,24598.1,24599,24587.1,24587.5
1771296480,24587.6,24591.4,24583.1,24587.1
1771296540,24587,24600.8,24584.1,24587.9
1771296600,24587.8,24598,24584.1,24598
1771296660,24601.5,24601.5,24592,24594.4
1771296720,24595,24605.8,24592.2,24598.1
1771296780,24597.5,24599.9,24593.2,24595.3
1771296840,24595.2,24598.4,24590.2,24598.2
1771296900,24598.4,24609.4,24598.4,24605.9
1771296960,24606.3,24610.3,24601.5,24603.7
1771297020,24603.1,24607.4,24597.6,24601.6
1771297080,24601.4,24605.9,24597,24605.6
1771297140,24605.3,24605.3,24591.4,24593.5
1771297200,24593.7,24595.2,24585.9,24588.8
1771297260,24588.6,24588.6,24580.1,24586
1771297320,24586.3,24587.5,24567.2,24574.8
1771297380,24574.6,24575.8,24564.6,24566.1
1771297440,24564.4,24569.6,24553.9,24555.9
1771297500,24556.2,24559.4,24532.2,24540
1771297560,24539.6,24561.6,24539,24555.2
1771297620,24554.9,24557.5,24542.9,24549.9
1771297680,24550.2,24556,24543.2,24555.9
1771297740,24556.1,24566.4,24554.8,24554.8
1771297800,24554.9,24562.7,24553.5,24561.4
1771297860,24561.1,24561.4,24535.8,24538.3
1771297920,24538.2,24539.8,24525.6,24532.2
1771297980,24535,24546.8,24534.1,24541.3
1771298040,24541.2,24548.7,24535.6,24547.4
1771298100,24548.9,24554.2,24540.4,24541.6
1771298160,24541.3,24553.4,24541.1,24553.2
1771298220,24553.3,24559.4,24553.3,24559.1
