Datum,Nachricht
2026-02-09T17:47:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25292.3 | Grund: Short deaktiviert | BB: [25256.89 / 25276.02 / 25295.15]
2026-02-09T17:53:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25306.6 | Grund: Short deaktiviert | BB: [25282.59 / 25297.46 / 25312.33]
2026-02-09T17:54:00.000+01:00,BB SQUEEZE START | Breite: 0.082 (Avg: 0.091) | BB: [25290.06 / 25300.43 / 25310.8]
2026-02-09T17:54:00.000+01:00,SHORT SIGNAL GEFILTERT | Preis: 25305.3 | Grund: Short deaktiviert | BB: [25290.06 / 25300.43 / 25310.8]
2026-02-09T17:55:00.000+01:00,=== SITZUNG BEENDET === US100 | Trades: 5/5 | Offene Pos: 0 | Equity: 10123.12
2026-02-09T18:20:00.000+01:00,MT BEARISH | CCI: -20.9 | ATR: 8.26 | Preis: 25310 | MT-Linie: 25315.35
2026-02-09T18:22:00.000+01:00,MT BULLISH | CCI: 33.6 | ATR: 7.9 | Preis: 25316.2 | MT-Linie: 25315.35
2026-02-09T18:23:00.000+01:00,MT BEARISH | CCI: -19.1 | ATR: 7.54 | Preis: 25312.2 | MT-Linie: 25315.35
2026-02-09T19:03:00.000+01:00,MT BULLISH | CCI: 7.7 | ATR: 10.12 | Preis: 25288.7 | MT-Linie: 25274.94
2026-02-09T19:04:00.000+01:00,MT BEARISH | CCI: -56.2 | ATR: 10.39 | Preis: 25280.5 | MT-Linie: 25274.94
2026-02-09T19:09:00.000+01:00,MT BULLISH | CCI: 27.1 | ATR: 10.31 | Preis: 25288.6 | MT-Linie: 25274.94
2026-02-09T19:11:00.000+01:00,MT BEARISH | CCI: -16.3 | ATR: 10.11 | Preis: 25282.3 | MT-Linie: 25274.94
2026-02-09T19:14:00.000+01:00,MT BULLISH | CCI: 16.1 | ATR: 8.97 | Preis: 25284.3 | MT-Linie: 25274.94
2026-02-09T19:15:00.000+01:00,MT BEARISH | CCI: -61.1 | ATR: 9.15 | Preis: 25276.4 | MT-Linie: 25274.94
2026-02-09T19:17:00.000+01:00,MT BULLISH | CCI: 11.1 | ATR: 8.35 | Preis: 25282.8 | MT-Linie: 25274.94
2026-02-09T19:21:00.000+01:00,MT BEARISH | CCI: -380.6 | ATR: 16.58 | Preis: 25240.9 | MT-Linie: 25275.51
2026-02-09T19:32:00.000+01:00,MT BULLISH | CCI: 37.5 | ATR: 15.39 | Preis: 25278.7 | MT-Linie: 25269.68
2026-02-09T20:47:00.000+01:00,MT BEARISH | CCI: -9.3 | ATR: 6.17 | Preis: 25321.3 | MT-Linie: 25329.06
2026-02-09T20:49:00.000+01:00,MT BULLISH | CCI: 10.3 | ATR: 6.49 | Preis: 25324.6 | MT-Linie: 25329.06
2026-02-09T20:51:00.000+01:00,MT BEARISH | CCI: -41.8 | ATR: 6.63 | Preis: 25319.7 | MT-Linie: 25329.06
2026-02-09T21:47:00.000+01:00,MT BULLISH | CCI: 15.3 | ATR: 10.41 | Preis: 25286.9 | MT-Linie: 25276.32
2026-02-09T21:48:00.000+01:00,MT BEARISH | CCI: -0.2 | ATR: 9.99 | Preis: 25282.7 | MT-Linie: 25276.32
2026-02-09T21:49:00.000+01:00,MT BULLISH | CCI: 20.1 | ATR: 9.45 | Preis: 25285.5 | MT-Linie: 25276.32
2026-02-09T21:53:00.000+01:00,MT BEARISH | CCI: -72.7 | ATR: 12.21 | Preis: 25268.8 | MT-Linie: 25278.72
2026-02-09T21:57:00.000+01:00,MT BULLISH | CCI: 1.3 | ATR: 13.06 | Preis: 25276.5 | MT-Linie: 25278.72
2026-02-09T21:59:00.000+01:00,MT BEARISH | CCI: -136.6 | ATR: 16.03 | Preis: 25257.9 | MT-Linie: 25278.72
2026-02-09T22:10:00.000+01:00,MT BULLISH | CCI: 44.7 | ATR: 10.43 | Preis: 25278.6 | MT-Linie: 25271.34
2026-02-09T22:17:00.000+01:00,MT BEARISH | CCI: -61.9 | ATR: 8.46 | Preis: 25265.3 | MT-Linie: 25271.34
2026-02-09T22:21:00.000+01:00,MT BULLISH | CCI: 6 | ATR: 7.2 | Preis: 25273.1 | MT-Linie: 25271.34
2026-02-09T22:48:00.000+01:00,MT BEARISH | CCI: -0.1 | ATR: 3.6 | Preis: 25275.7 | MT-Linie: 25276.46
2026-02-09T22:49:00.000+01:00,MT BULLISH | CCI: 11.4 | ATR: 3.73 | Preis: 25276 | MT-Linie: 25276.46
2026-02-09T22:51:00.000+01:00,MT BEARISH | CCI: -44.7 | ATR: 3.46 | Preis: 25273.7 | MT-Linie: 25276.46
2026-02-09T22:52:00.000+01:00,MT BULLISH | CCI: 93.6 | ATR: 3.75 | Preis: 25279.2 | MT-Linie: 25276.46
2026-02-09T22:54:00.000+01:00,MT BEARISH | CCI: -90.7 | ATR: 3.9 | Preis: 25273.3 | MT-Linie: 25276.46
2026-02-09T22:56:00.000+01:00,MT BULLISH | CCI: 83.9 | ATR: 4.56 | Preis: 25279.1 | MT-Linie: 25276.46
2026-02-09T22:57:00.000+01:00,MT BEARISH | CCI: -37.3 | ATR: 4.9 | Preis: 25275.5 | MT-Linie: 25276.46
2026-02-09T23:38:00.000+01:00,MT BULLISH | CCI: 1.6 | ATR: 1.41 | Preis: 25270.4 | MT-Linie: 25268.79
2026-02-09T23:41:00.000+01:00,MT BEARISH | CCI: -32 | ATR: 1.26 | Preis: 25269.6 | MT-Linie: 25269.07
2026-02-09T23:46:00.000+01:00,MT BULLISH | CCI: 17 | ATR: 1.23 | Preis: 25270.1 | MT-Linie: 25269.07
2026-02-10T00:11:00.000+01:00,MT BEARISH | CCI: -68.8 | ATR: 8.68 | Preis: 25269.5 | MT-Linie: 25296.01
2026-02-10T00:40:00.000+01:00,MT BULLISH | CCI: 47.8 | ATR: 9.44 | Preis: 25274.9 | MT-Linie: 25267.68
2026-02-10T00:45:00.000+01:00,MT BEARISH | CCI: -27.1 | ATR: 9.95 | Preis: 25262.9 | MT-Linie: 25268.32
2026-02-10T01:01:00.000+01:00,MT BULLISH | CCI: 64.1 | ATR: 9.47 | Preis: 25267.5 | MT-Linie: 25263.32
2026-02-10T01:08:00.000+01:00,MT BEARISH | CCI: -97.4 | ATR: 9.81 | Preis: 25252.4 | MT-Linie: 25263.32
2026-02-10T01:31:00.000+01:00,MT BULLISH | CCI: 4 | ATR: 7.56 | Preis: 25248.3 | MT-Linie: 25241.32
2026-02-10T01:32:00.000+01:00,MT BEARISH | CCI: -15.6 | ATR: 7.58 | Preis: 25245.1 | MT-Linie: 25241.32
2026-02-10T01:33:00.000+01:00,MT BULLISH | CCI: 0.3 | ATR: 7.14 | Preis: 25247.2 | MT-Linie: 25241.32
2026-02-10T01:34:00.000+01:00,MT BEARISH | CCI: -22.3 | ATR: 7.02 | Preis: 25243.6 | MT-Linie: 25241.32
2026-02-10T01:53:00.000+01:00,MT BULLISH | CCI: 181.1 | ATR: 7.22 | Preis: 25250.6 | MT-Linie: 25236.21
2026-02-10T02:10:00.000+01:00,MT BEARISH | CCI: -11.8 | ATR: 7.55 | Preis: 25239.3 | MT-Linie: 25243.66
2026-02-10T02:11:00.000+01:00,MT BULLISH | CCI: 32.1 | ATR: 7.61 | Preis: 25245 | MT-Linie: 25243.66
2026-02-10T02:16:00.000+01:00,MT BEARISH | CCI: -11.1 | ATR: 6.75 | Preis: 25241.3 | MT-Linie: 25243.66
2026-02-10T02:22:00.000+01:00,MT BULLISH | CCI: 46.8 | ATR: 7.07 | Preis: 25248 | MT-Linie: 25243.66
2026-02-10T02:27:00.000+01:00,MT BEARISH | CCI: -17.5 | ATR: 6.43 | Preis: 25245.3 | MT-Linie: 25243.66
2026-02-10T02:38:00.000+01:00,MT BULLISH | CCI: 43.5 | ATR: 9.04 | Preis: 25244.6 | MT-Linie: 25226.82
2026-02-10T02:55:00.000+01:00,MT BEARISH | CCI: -36.8 | ATR: 8.91 | Preis: 25235.6 | MT-Linie: 25253.16
2026-02-10T02:59:00.000+01:00,MT BULLISH | CCI: 47.1 | ATR: 9.01 | Preis: 25249 | MT-Linie: 25246.49
2026-02-10T03:04:00.000+01:00,MT BEARISH | CCI: -17.4 | ATR: 9.16 | Preis: 25238.6 | MT-Linie: 25246.49
2026-02-10T03:05:00.000+01:00,MT BULLISH | CCI: 1.6 | ATR: 8.53 | Preis: 25242.2 | MT-Linie: 25246.49
2026-02-10T03:08:00.000+01:00,MT BEARISH | CCI: -37.2 | ATR: 7.74 | Preis: 25239.6 | MT-Linie: 25246.49
2026-02-10T03:52:00.000+01:00,MT BULLISH | CCI: 25.1 | ATR: 6.45 | Preis: 25225 | MT-Linie: 25217.21
2026-02-10T03:56:00.000+01:00,MT BEARISH | CCI: -8.8 | ATR: 6.02 | Preis: 25220.1 | MT-Linie: 25217.4
2026-02-10T04:24:00.000+01:00,MT BULLISH | CCI: 17.5 | ATR: 5.52 | Preis: 25210.7 | MT-Linie: 25201.65
2026-02-10T04:27:00.000+01:00,MT BEARISH | CCI: -5 | ATR: 5.97 | Preis: 25207.2 | MT-Linie: 25203.58
2026-02-10T04:32:00.000+01:00,MT BULLISH | CCI: 132.5 | ATR: 6.01 | Preis: 25215.7 | MT-Linie: 25203.58
2026-02-10T04:48:00.000+01:00,MT BEARISH | CCI: -13 | ATR: 5.15 | Preis: 25208 | MT-Linie: 25216.15
2026-02-10T04:49:00.000+01:00,MT BULLISH | CCI: 92.7 | ATR: 5.96 | Preis: 25218.8 | MT-Linie: 25216.15
2026-02-10T04:59:00.000+01:00,MT BEARISH | CCI: -4.8 | ATR: 4.41 | Preis: 25214.4 | MT-Linie: 25216.15
